subject,itemID,pres.order,Item,Itemtype,Length,ColFreq,answer,res,RT
2,42,6,proud parents,Eonly,13,110,TRUE,1,1657
2,43,5,quick look,Eonly,10,1038,TRUE,0,1281
2,44,2,sharp rise,Eonly,10,172,TRUE,0,892
2,45,139,short notice,Eonly,12,516,TRUE,1,1235
2,46,131,slow learner,Eonly,12,68,TRUE,0,822
2,47,85,active personality,Jonly,18,0,FALSE,0,1675
2,48,126,cheap pay,Jonly,9,0,FALSE,0,1143
2,49,15,dark society,Jonly,12,0,FALSE,0,1346
2,50,70,delicious season,Jonly,16,0,FALSE,1,1255
2,51,32,far eye,Jonly,7,0,FALSE,1,1988
2,52,7,frank question,Jonly,14,6,FALSE,0,1319
2,53,46,hot battle,Jonly,10,1,FALSE,0,1586
2,54,128,light content,Jonly,13,1,FALSE,1,1075
2,55,42,narrow thought,Jonly,14,0,FALSE,0,1385
2,56,122,pretty animal,Jonly,13,2,FALSE,0,1196
2,57,8,quiet war,Jonly,9,12,FALSE,1,1312
2,58,81,severe home,Jonly,11,0,FALSE,1,1246
2,59,10,shallow injury,Jonly,14,0,FALSE,1,1875
2,60,39,silent force,Jonly,12,2,FALSE,0,1748
2,61,55,slim branch,Jonly,11,0,FALSE,1,1663
2,62,65,soft atmosphere,Jonly,15,0,FALSE,1,1255
2,63,103,straight heart,Jonly,14,0,FALSE,1,1566
2,64,86,sweet judgment,Jonly,14,1,FALSE,1,1157
2,65,27,tall danger,Jonly,11,0,FALSE,1,1482
2,66,108,warm gift,Jonly,9,0,FALSE,0,1173
2,67,97,weak rain ,Jonly,9,0,FALSE,0,1244
2,68,89,wide market,Jonly,11,5,FALSE,1,1421
2,69,48,yellow voice,Jonly,12,0,FALSE,1,964
2,70,118,active gift,Baseline,11,0,FALSE,1,1212
2,71,120,bad lips,Baseline,8,0,FALSE,0,1428
2,72,119,bare growth,Baseline,11,0,FALSE,1,1099
2,73,13,beautiful understanding,Baseline,23,0,FALSE,1,1634
2,74,96,big atmosphere,Baseline,14,1,FALSE,1,1817
2,75,12,bitter hole,Baseline,11,0,FALSE,1,1374
2,76,94,black news,Baseline,10,5,FALSE,0,999
2,77,72,brief decision,Baseline,14,0,FALSE,0,1369
2,78,113,broad water,Baseline,11,5,FALSE,1,1153
2,79,49,broken attention,Baseline,16,0,FALSE,1,1359
2,80,64,busy content,Baseline,12,0,FALSE,1,1138
2,81,17,careful weather,Baseline,15,0,FALSE,1,1455
2,82,107,cheap notice,Baseline,12,0,FALSE,1,1982
2,83,16,clean price,Baseline,11,0,FALSE,0,1540
2,84,125,cold love,Baseline,9,0,FALSE,1,900
2,85,66,coming judgement,Baseline,15,0,FALSE,0,912
2,86,28,dark months,Baseline,11,20,FALSE,1,1441
2,87,104,deep room,Baseline,9,1,FALSE,1,1200
2,88,82,delicious person,Baseline,16,1,FALSE,1,1040
2,89,105,early guess,Baseline,11,3,FALSE,1,1131
2,90,24,easy market,Baseline,11,2,FALSE,1,1251
2,91,124,economic stone,Baseline,14,0,FALSE,1,1148
2,92,123,false tire,Baseline,10,0,FALSE,1,1071
2,93,129,famous eye,Baseline,10,2,FALSE,1,844
2,94,69,far home,Baseline,8,0,FALSE,0,1185
2,95,30,final heart,Baseline,11,5,FALSE,1,1254
2,96,137,flat bird,Baseline,9,0,FALSE,1,840
2,97,33,frank animal,Baseline,12,0,FALSE,1,1424
2,98,93,free voice,Baseline,10,10,FALSE,1,1711
2,99,59,front future,Baseline,12,0,FALSE,1,1319
2,100,74,full question,Baseline,13,3,FALSE,0,775
2,101,63,good moment,Baseline,11,104,FALSE,0,806
2,102,77,handsome branch,Baseline,15,0,FALSE,1,1517
2,103,102,hard injury,Baseline,11,0,FALSE,0,1693
2,104,75,heavy season,Baseline,12,1,FALSE,1,973
2,105,11,hot parents,Baseline,11,0,FALSE,1,1564
2,106,36,light window,Baseline,12,1,FALSE,1,1604
2,107,91,long energy,Baseline,11,0,FALSE,1,1243
2,108,114,low thought,Baseline,11,0,FALSE,1,1250
2,109,22,lucky tea,Baseline,9,0,FALSE,1,1037
2,110,41,narrow force,Baseline,12,0,FALSE,1,1194
2,111,53,near feet,Baseline,9,0,FALSE,1,1564
2,112,76,open teeth,Baseline,10,1,FALSE,1,1053
2,113,40,poor war,Baseline,8,1,FALSE,1,1516
2,114,44,pretty arms,Baseline,11,3,FALSE,1,1493
2,115,67,proud idea,Baseline,10,0,FALSE,0,897
2,116,127,quick rate,Baseline,10,3,FALSE,1,783
2,117,95,quiet fog,Baseline,9,0,FALSE,1,1341
2,118,110,severe learner,Baseline,14,0,FALSE,1,1252
2,119,20,shallow road,Baseline,12,0,FALSE,0,1873
2,120,88,sharp debt,Baseline,10,0,FALSE,1,1250
2,121,51,short pay,Baseline,9,1,FALSE,0,1463
2,122,115,silent experience,Baseline,17,0,FALSE,1,1350
2,123,29,slim rise,Baseline,9,0,FALSE,1,1531
2,124,4,slow luck,Baseline,9,0,FALSE,1,1258
2,125,111,small look,Baseline,10,2,FALSE,1,1240
2,126,14,soft woman,Baseline,10,6,FALSE,1,1267
2,127,90,straight battle,Baseline,15,1,FALSE,1,1657
2,128,38,strong deaths,Baseline,13,0,FALSE,1,1791
2,129,100,stupid rain ,Baseline,11,1,FALSE,1,1135
2,130,116,sweet wind,Baseline,10,6,FALSE,1,990
2,131,37,tall eyes,Baseline,9,0,FALSE,1,1256
2,132,79,thick daylight,Baseline,14,0,FALSE,0,1535
2,133,92,thin personality ,Baseline,16,0,FALSE,1,1401
2,134,138,tragic danger,Baseline,13,0,FALSE,0,984
2,135,132,warm speed,Baseline,10,0,FALSE,1,889
2,136,58,weak speech ,Baseline,11,0,FALSE,1,993
2,137,50,wet sleep,Baseline,9,0,FALSE,1,984
2,138,83,wide year,Baseline,9,0,FALSE,1,1094
2,139,52,yellow society,Baseline,14,0,FALSE,1,893
3,1,104,thick fog,JE,9,145,TRUE,1,948
3,2,48,stupid idea,JE,11,112,TRUE,1,881
3,3,10,thin lips ,JE,9,266,TRUE,1,2583
3,4,106,deep love,JE,9,140,TRUE,1,1168
3,5,80,small room,JE,10,1010,TRUE,1,983
3,6,34,long sleep,JE,10,82,TRUE,1,1418
3,7,69,cold tea,JE,8,37,TRUE,1,1451
3,8,61,broken window,JE,13,249,TRUE,1,1027
3,9,95,final year,JE,10,620,TRUE,1,3905
3,10,24,front tire,JE,10,139,TRUE,1,1412
3,11,114,famous person,JE,13,234,TRUE,1,775
3,12,39,good news,JE,9,10360,TRUE,1,1162
3,13,123,economic growth,JE,15,6627,TRUE,1,1400
3,14,32,black hole,JE,10,2889,TRUE,1,1335
3,15,15,near future,JE,11,2422,TRUE,1,1303
3,16,6,tragic deaths,JE,13,49,TRUE,1,1828
3,17,131,beautiful woman,JE,15,1386,TRUE,1,870
3,18,105,handsome man,JE,12,606,TRUE,1,1111
3,19,33,bitter experience,JE,17,97,TRUE,0,972
3,20,111,big eyes,JE,8,321,TRUE,1,776
3,21,68,high price,JE,10,971,TRUE,1,804
3,22,128,strong wind,JE,11,238,TRUE,1,1347
3,23,103,clean water,JE,11,1797,TRUE,1,803
3,24,62,bad debt,Eonly,8,203,TRUE,0,2985
3,25,51,bare feet,Eonly,9,1552,TRUE,1,2253
3,26,7,brief moment,Eonly,12,656,TRUE,1,1190
3,27,18,broad daylight,Eonly,14,597,TRUE,0,3481
3,28,117,busy road,Eonly,9,77,TRUE,1,3123
3,29,112,careful attention,Eonly,17,396,TRUE,1,1294
3,30,52,coming months,Eonly,13,938,TRUE,1,1939
3,31,101,early bird,Eonly,10,178,TRUE,1,1133
3,32,57,easy decision,Eonly,13,217,TRUE,1,1469
3,33,77,false teeth,Eonly,11,200,TRUE,0,1080
3,34,67,flat rate,Eonly,9,125,TRUE,0,1684
3,35,138,free speech,Eonly,11,3214,TRUE,1,2768
3,36,45,full understanding,Eonly,18,198,TRUE,1,3229
3,37,81,hard luck,Eonly,9,93,TRUE,0,1092
3,38,56,low speed,Eonly,9,501,TRUE,0,5002
3,39,137,lucky guess,Eonly,11,30,TRUE,1,2010
3,40,40,open arms,Eonly,9,473,TRUE,1,946
3,41,64,poor health,Eonly,11,642,TRUE,1,2188
3,42,108,proud parents,Eonly,13,110,TRUE,0,2020
3,43,120,quick look,Eonly,10,1038,TRUE,1,1418
3,44,25,sharp rise,Eonly,10,172,TRUE,0,3509
3,45,73,short notice,Eonly,12,516,TRUE,0,1762
3,46,9,slow learner,Eonly,12,68,TRUE,1,3131
3,47,59,active personality,Jonly,18,0,FALSE,0,3540
3,48,70,cheap pay,Jonly,9,0,FALSE,1,3973
3,49,126,dark society,Jonly,12,0,FALSE,1,1949
3,50,8,delicious season,Jonly,16,0,FALSE,1,1456
3,51,11,far eye,Jonly,7,0,FALSE,1,908
3,52,55,frank question,Jonly,14,6,FALSE,0,1497
3,53,71,hot battle,Jonly,10,1,FALSE,0,1383
3,54,38,light content,Jonly,13,1,FALSE,0,1519
3,55,16,narrow thought,Jonly,14,0,FALSE,0,1580
3,56,124,pretty animal,Jonly,13,2,FALSE,1,1081
3,57,127,quiet war,Jonly,9,12,FALSE,0,2300
3,58,36,severe home,Jonly,11,0,FALSE,1,1729
3,59,66,shallow injury,Jonly,14,0,FALSE,1,4831
3,60,98,silent force,Jonly,12,2,FALSE,1,2436
3,61,21,slim branch,Jonly,11,0,FALSE,0,3560
3,62,115,soft atmosphere,Jonly,15,0,FALSE,0,2143
3,63,14,straight heart,Jonly,14,0,FALSE,0,2256
3,64,35,sweet judgment,Jonly,14,1,FALSE,1,1393
3,65,97,tall danger,Jonly,11,0,FALSE,1,1187
3,66,110,warm gift,Jonly,9,0,FALSE,0,3623
3,67,107,weak rain ,Jonly,9,0,FALSE,1,1209
3,68,119,wide market,Jonly,11,5,FALSE,0,1255
3,69,54,yellow voice,Jonly,12,0,FALSE,0,3802
3,70,2,active gift,Baseline,11,0,FALSE,1,1309
3,71,74,bad lips,Baseline,8,0,FALSE,1,1042
3,72,58,bare growth,Baseline,11,0,FALSE,1,1911
3,73,76,beautiful understanding,Baseline,23,0,FALSE,1,1237
3,74,90,big atmosphere,Baseline,14,1,FALSE,1,1121
3,75,19,bitter hole,Baseline,11,0,FALSE,1,1455
3,76,100,black news,Baseline,10,5,FALSE,0,3450
3,77,92,brief decision,Baseline,14,0,FALSE,1,3477
3,78,85,broad water,Baseline,11,5,FALSE,1,1321
3,79,5,broken attention,Baseline,16,0,FALSE,1,1169
3,80,93,busy content,Baseline,12,0,FALSE,1,3273
3,81,116,careful weather,Baseline,15,0,FALSE,1,1194
3,82,42,cheap notice,Baseline,12,0,FALSE,1,2617
3,83,43,clean price,Baseline,11,0,FALSE,1,1583
3,84,31,cold love,Baseline,9,0,FALSE,0,2625
3,85,37,coming judgement,Baseline,15,0,FALSE,1,1912
3,86,53,dark months,Baseline,11,20,FALSE,1,1800
3,87,91,deep room,Baseline,9,1,FALSE,1,921
3,88,3,delicious person,Baseline,16,1,FALSE,1,1075
3,89,86,early guess,Baseline,11,3,FALSE,1,4422
3,90,88,easy market,Baseline,11,2,FALSE,1,1123
3,91,109,economic stone,Baseline,14,0,FALSE,1,1524
3,92,50,false tire,Baseline,10,0,FALSE,1,2273
3,93,49,famous eye,Baseline,10,2,FALSE,1,932
3,94,22,far home,Baseline,8,0,FALSE,1,3271
3,95,87,final heart,Baseline,11,5,FALSE,1,1459
3,96,118,flat bird,Baseline,9,0,FALSE,1,1392
3,97,30,frank animal,Baseline,12,0,FALSE,1,1431
3,98,26,free voice,Baseline,10,10,FALSE,1,1947
3,99,72,front future,Baseline,12,0,FALSE,1,1263
3,100,20,full question,Baseline,13,3,FALSE,0,2690
3,101,78,good moment,Baseline,11,104,FALSE,0,890
3,102,113,handsome branch,Baseline,15,0,FALSE,1,1547
3,103,135,hard injury,Baseline,11,0,FALSE,0,4564
3,104,84,heavy season,Baseline,12,1,FALSE,1,947
3,105,44,hot parents,Baseline,11,0,FALSE,1,1701
3,106,4,light window,Baseline,12,1,FALSE,1,1723
3,107,1,long energy,Baseline,11,0,FALSE,1,1576
3,108,29,low thought,Baseline,11,0,FALSE,1,1852
3,109,79,lucky tea,Baseline,9,0,FALSE,1,931
3,110,60,narrow force,Baseline,12,0,FALSE,1,1732
3,111,83,near feet,Baseline,9,0,FALSE,0,2988
3,112,28,open teeth,Baseline,10,1,FALSE,0,1521
3,113,130,poor war,Baseline,8,1,FALSE,1,1079
3,114,125,pretty arms,Baseline,11,3,FALSE,1,1328
3,115,63,proud idea,Baseline,10,0,FALSE,1,1224
3,116,129,quick rate,Baseline,10,3,FALSE,0,1953
3,117,13,quiet fog,Baseline,9,0,FALSE,1,1737
3,118,121,severe learner,Baseline,14,0,FALSE,1,2946
3,119,12,shallow road,Baseline,12,0,FALSE,0,4287
3,120,102,sharp debt,Baseline,10,0,FALSE,1,1271
3,121,139,short pay,Baseline,9,1,FALSE,1,1140
3,122,47,silent experience,Baseline,17,0,FALSE,1,2361
3,123,122,slim rise,Baseline,9,0,FALSE,1,1995
3,124,132,slow luck,Baseline,9,0,FALSE,1,1016
3,125,133,small look,Baseline,10,2,FALSE,1,1254
3,126,82,soft woman,Baseline,10,6,FALSE,1,1130
3,127,41,straight battle,Baseline,15,1,FALSE,1,2167
3,128,89,strong deaths,Baseline,13,0,FALSE,1,1284
3,129,27,stupid rain ,Baseline,11,1,FALSE,1,1455
3,130,17,sweet wind,Baseline,10,6,FALSE,1,1168
3,131,99,tall eyes,Baseline,9,0,FALSE,1,878
3,132,96,thick daylight,Baseline,14,0,FALSE,1,2113
3,133,23,thin personality ,Baseline,16,0,FALSE,1,1615
3,134,75,tragic danger,Baseline,13,0,FALSE,1,1265
3,135,46,warm speed,Baseline,10,0,FALSE,1,2008
3,136,65,weak speech ,Baseline,11,0,FALSE,1,1304
3,137,134,wet sleep,Baseline,9,0,FALSE,1,1178
3,138,136,wide year,Baseline,9,0,FALSE,1,1325
3,139,94,yellow society,Baseline,14,0,FALSE,1,1080
4,1,84,thick fog,JE,9,145,TRUE,1,677
4,2,90,stupid idea,JE,11,112,TRUE,1,871
4,3,66,thin lips ,JE,9,266,TRUE,1,1278
4,4,59,deep love,JE,9,140,TRUE,1,1278
4,5,18,small room,JE,10,1010,TRUE,1,1243
4,6,10,long sleep,JE,10,82,TRUE,1,1748
4,7,30,cold tea,JE,8,37,TRUE,1,1852
4,8,94,broken window,JE,13,249,TRUE,1,1548
4,9,86,final year,JE,10,620,TRUE,1,1310
4,10,70,front tire,JE,10,139,TRUE,1,1436
4,11,126,famous person,JE,13,234,TRUE,1,729
4,12,71,good news,JE,9,10360,TRUE,1,861
4,13,19,economic growth,JE,15,6627,TRUE,1,1190
4,14,46,black hole,JE,10,2889,TRUE,1,1229
4,15,99,near future,JE,11,2422,TRUE,1,1142
4,16,101,tragic deaths,JE,13,49,TRUE,1,2457
4,17,117,beautiful woman,JE,15,1386,TRUE,1,796
4,18,14,handsome man,JE,12,606,TRUE,1,2782
4,19,114,bitter experience,JE,17,97,TRUE,1,1143
4,20,68,big eyes,JE,8,321,TRUE,1,1047
4,21,33,high price,JE,10,971,TRUE,1,896
4,22,55,strong wind,JE,11,238,TRUE,1,1787
4,23,49,clean water,JE,11,1797,TRUE,1,913
4,24,4,bad debt,Eonly,8,203,TRUE,0,1368
4,25,81,bare feet,Eonly,9,1552,TRUE,0,1386
4,26,74,brief moment,Eonly,12,656,TRUE,1,1875
4,27,6,broad daylight,Eonly,14,597,TRUE,1,3238
4,28,20,busy road,Eonly,9,77,TRUE,1,2064
4,29,27,careful attention,Eonly,17,396,TRUE,1,1569
4,30,89,coming months,Eonly,13,938,TRUE,1,907
4,31,123,early bird,Eonly,10,178,TRUE,1,1367
4,32,3,easy decision,Eonly,13,217,TRUE,1,1002
4,33,105,false teeth,Eonly,11,200,TRUE,0,1422
4,34,21,flat rate,Eonly,9,125,TRUE,0,2087
4,35,120,free speech,Eonly,11,3214,TRUE,1,1397
4,36,122,full understanding,Eonly,18,198,TRUE,1,1066
4,37,28,hard luck,Eonly,9,93,TRUE,0,4078
4,38,69,low speed,Eonly,9,501,TRUE,1,1406
4,39,29,lucky guess,Eonly,11,30,TRUE,0,1802
4,40,93,open arms,Eonly,9,473,TRUE,1,1256
4,41,138,poor health,Eonly,11,642,TRUE,1,1071
4,42,64,proud parents,Eonly,13,110,TRUE,0,1136
4,43,52,quick look,Eonly,10,1038,TRUE,0,1528
4,44,58,sharp rise,Eonly,10,172,TRUE,1,1103
4,45,54,short notice,Eonly,12,516,TRUE,1,2254
4,46,88,slow learner,Eonly,12,68,TRUE,0,1185
4,47,108,active personality,Jonly,18,0,FALSE,0,937
4,48,78,cheap pay,Jonly,9,0,FALSE,1,3251
4,49,11,dark society,Jonly,12,0,FALSE,1,2996
4,50,119,delicious season,Jonly,16,0,FALSE,1,3106
4,51,131,far eye,Jonly,7,0,FALSE,1,956
4,52,13,frank question,Jonly,14,6,FALSE,0,1507
4,53,40,hot battle,Jonly,10,1,FALSE,1,1574
4,54,61,light content,Jonly,13,1,FALSE,0,1935
4,55,15,narrow thought,Jonly,14,0,FALSE,0,1719
4,56,62,pretty animal,Jonly,13,2,FALSE,0,1268
4,57,26,quiet war,Jonly,9,12,FALSE,0,1605
4,58,104,severe home,Jonly,11,0,FALSE,1,2553
4,59,100,shallow injury,Jonly,14,0,FALSE,0,1199
4,60,129,silent force,Jonly,12,2,FALSE,0,1160
4,61,42,slim branch,Jonly,11,0,FALSE,0,1334
4,62,7,soft atmosphere,Jonly,15,0,FALSE,0,1957
4,63,133,straight heart,Jonly,14,0,FALSE,0,1294
4,64,118,sweet judgment,Jonly,14,1,FALSE,0,1075
4,65,60,tall danger,Jonly,11,0,FALSE,1,1588
4,66,76,warm gift,Jonly,9,0,FALSE,0,1138
4,67,22,weak rain ,Jonly,9,0,FALSE,0,2288
4,68,103,wide market,Jonly,11,5,FALSE,0,1363
4,69,83,yellow voice,Jonly,12,0,FALSE,0,759
4,70,50,active gift,Baseline,11,0,FALSE,1,1291
4,71,32,bad lips,Baseline,8,0,FALSE,1,1549
4,72,35,bare growth,Baseline,11,0,FALSE,1,1294
4,73,73,beautiful understanding,Baseline,23,0,FALSE,1,1511
4,74,87,big atmosphere,Baseline,14,1,FALSE,1,1091
4,75,2,bitter hole,Baseline,11,0,FALSE,1,2370
4,76,136,black news,Baseline,10,5,FALSE,0,1028
4,77,67,brief decision,Baseline,14,0,FALSE,0,1931
4,78,57,broad water,Baseline,11,5,FALSE,1,2078
4,79,137,broken attention,Baseline,16,0,FALSE,0,1625
4,80,106,busy content,Baseline,12,0,FALSE,0,1295
4,81,111,careful weather,Baseline,15,0,FALSE,1,2353
4,82,45,cheap notice,Baseline,12,0,FALSE,1,1498
4,83,109,clean price,Baseline,11,0,FALSE,1,1397
4,84,34,cold love,Baseline,9,0,FALSE,1,908
4,85,63,coming judgement,Baseline,15,0,FALSE,0,1496
4,86,37,dark months,Baseline,11,20,FALSE,0,2612
4,87,95,deep room,Baseline,9,1,FALSE,1,1015
4,88,75,delicious person,Baseline,16,1,FALSE,1,1269
4,89,97,early guess,Baseline,11,3,FALSE,0,1840
4,90,41,easy market,Baseline,11,2,FALSE,0,946
4,91,92,economic stone,Baseline,14,0,FALSE,0,1815
4,92,82,false tire,Baseline,10,0,FALSE,1,2296
4,93,121,famous eye,Baseline,10,2,FALSE,1,1269
4,94,24,far home,Baseline,8,0,FALSE,1,1533
4,95,125,final heart,Baseline,11,5,FALSE,0,1401
4,96,48,flat bird,Baseline,9,0,FALSE,0,1106
4,97,23,frank animal,Baseline,12,0,FALSE,1,1694
4,98,39,free voice,Baseline,10,10,FALSE,1,1476
4,99,25,front future,Baseline,12,0,FALSE,1,1952
4,100,38,full question,Baseline,13,3,FALSE,0,867
4,101,43,good moment,Baseline,11,104,FALSE,0,787
4,102,44,handsome branch,Baseline,15,0,FALSE,1,1443
4,103,134,hard injury,Baseline,11,0,FALSE,0,1459
4,104,135,heavy season,Baseline,12,1,FALSE,0,1405
4,105,1,hot parents,Baseline,11,0,FALSE,1,2414
4,106,47,light window,Baseline,12,1,FALSE,0,2440
4,107,124,long energy,Baseline,11,0,FALSE,0,1278
4,108,79,low thought,Baseline,11,0,FALSE,1,1810
4,109,53,lucky tea,Baseline,9,0,FALSE,1,1290
4,110,110,narrow force,Baseline,12,0,FALSE,1,1900
4,111,115,near feet,Baseline,9,0,FALSE,1,3009
4,112,5,open teeth,Baseline,10,1,FALSE,0,1461
4,113,102,poor war,Baseline,8,1,FALSE,1,1427
4,114,132,pretty arms,Baseline,11,3,FALSE,0,1681
4,115,9,proud idea,Baseline,10,0,FALSE,1,1341
4,116,56,quick rate,Baseline,10,3,FALSE,0,2405
4,117,65,quiet fog,Baseline,9,0,FALSE,0,1610
4,118,72,severe learner,Baseline,14,0,FALSE,1,2102
4,119,77,shallow road,Baseline,12,0,FALSE,0,1450
4,120,51,sharp debt,Baseline,10,0,FALSE,1,3600
4,121,80,short pay,Baseline,9,1,FALSE,0,2650
4,122,128,silent experience,Baseline,17,0,FALSE,1,1510
4,123,36,slim rise,Baseline,9,0,FALSE,1,1531
4,124,16,slow luck,Baseline,9,0,FALSE,1,2056
4,125,112,small look,Baseline,10,2,FALSE,0,1032
4,126,113,soft woman,Baseline,10,6,FALSE,1,2094
4,127,31,straight battle,Baseline,15,1,FALSE,0,1413
4,128,17,strong deaths,Baseline,13,0,FALSE,1,1847
4,129,127,stupid rain ,Baseline,11,1,FALSE,1,1079
4,130,91,sweet wind,Baseline,10,6,FALSE,0,1369
4,131,85,tall eyes,Baseline,9,0,FALSE,1,1235
4,132,8,thick daylight,Baseline,14,0,FALSE,1,1867
4,133,96,thin personality ,Baseline,16,0,FALSE,1,1524
4,134,130,tragic danger,Baseline,13,0,FALSE,0,1850
4,135,107,warm speed,Baseline,10,0,FALSE,0,1364
4,136,116,weak speech ,Baseline,11,0,FALSE,1,1552
4,137,12,wet sleep,Baseline,9,0,FALSE,1,1388
4,138,139,wide year,Baseline,9,0,FALSE,1,1845
4,139,98,yellow society,Baseline,14,0,FALSE,0,985
5,1,10,thick fog,JE,9,145,TRUE,0,2407
5,2,82,stupid idea,JE,11,112,TRUE,1,1148
5,3,136,thin lips ,JE,9,266,TRUE,0,1734
5,4,95,deep love,JE,9,140,TRUE,1,935
5,5,53,small room,JE,10,1010,TRUE,1,1157
5,6,73,long sleep,JE,10,82,TRUE,1,1222
5,7,59,cold tea,JE,8,37,TRUE,1,903
5,8,35,broken window,JE,13,249,TRUE,1,1579
5,9,130,final year,JE,10,620,TRUE,1,998
5,10,40,front tire,JE,10,139,TRUE,0,2962
5,11,83,famous person,JE,13,234,TRUE,1,1245
5,12,129,good news,JE,9,10360,TRUE,1,884
5,13,87,economic growth,JE,15,6627,TRUE,1,1881
5,14,1,black hole,JE,10,2889,TRUE,1,1588
5,15,75,near future,JE,11,2422,TRUE,1,1914
5,16,76,tragic deaths,JE,13,49,TRUE,0,2037
5,17,92,beautiful woman,JE,15,1386,TRUE,1,1332
5,18,14,handsome man,JE,12,606,TRUE,1,1425
5,19,56,bitter experience,JE,17,97,TRUE,0,2086
5,20,17,big eyes,JE,8,321,TRUE,1,893
5,21,16,high price,JE,10,971,TRUE,1,1576
5,22,27,strong wind,JE,11,238,TRUE,1,1263
5,23,18,clean water,JE,11,1797,TRUE,1,957
5,24,54,bad debt,Eonly,8,203,TRUE,0,1639
5,25,88,bare feet,Eonly,9,1552,TRUE,1,1285
5,26,58,brief moment,Eonly,12,656,TRUE,0,2468
5,27,34,broad daylight,Eonly,14,597,TRUE,0,3939
5,28,84,busy road,Eonly,9,77,TRUE,1,1599
5,29,109,careful attention,Eonly,17,396,TRUE,0,1572
5,30,70,coming months,Eonly,13,938,TRUE,1,1435
5,31,15,early bird,Eonly,10,178,TRUE,0,1074
5,32,69,easy decision,Eonly,13,217,TRUE,0,1310
5,33,37,false teeth,Eonly,11,200,TRUE,0,1945
5,34,77,flat rate,Eonly,9,125,TRUE,0,1284
5,35,106,free speech,Eonly,11,3214,TRUE,1,1048
5,36,99,full understanding,Eonly,18,198,TRUE,1,2097
5,37,128,hard luck,Eonly,9,93,TRUE,0,1499
5,38,66,low speed,Eonly,9,501,TRUE,0,2007
5,39,79,lucky guess,Eonly,11,30,TRUE,0,1568
5,40,50,open arms,Eonly,9,473,TRUE,0,1501
5,41,20,poor health,Eonly,11,642,TRUE,1,2079
5,42,41,proud parents,Eonly,13,110,TRUE,1,2913
5,43,72,quick look,Eonly,10,1038,TRUE,1,1858
5,44,38,sharp rise,Eonly,10,172,TRUE,0,1055
5,45,30,short notice,Eonly,12,516,TRUE,0,1496
5,46,137,slow learner,Eonly,12,68,TRUE,0,1567
5,47,123,active personality,Jonly,18,0,FALSE,0,1573
5,48,115,cheap pay,Jonly,9,0,FALSE,1,1074
5,49,124,dark society,Jonly,12,0,FALSE,1,1649
5,50,132,delicious season,Jonly,16,0,FALSE,1,1294
5,51,112,far eye,Jonly,7,0,FALSE,1,725
5,52,9,frank question,Jonly,14,6,FALSE,0,1501
5,53,108,hot battle,Jonly,10,1,FALSE,0,1405
5,54,93,light content,Jonly,13,1,FALSE,1,1266
5,55,13,narrow thought,Jonly,14,0,FALSE,0,1745
5,56,60,pretty animal,Jonly,13,2,FALSE,0,1297
5,57,61,quiet war,Jonly,9,12,FALSE,1,1319
