id,名前,タイプ1,高さ,重さ,世代,ステータス,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,捕まえやすさ,進化,画像URL
26,ライチュウ,でんき,0.8,30,1,485,60,90,55,90,80,110,75,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,サンド,じめん,0.6,12,1,300,50,75,85,20,30,40,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,サンドパン,じめん,1,29.5,1,450,75,100,110,45,55,65,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,ニドラン♀,どく,0.4,7,1,275,55,47,52,40,40,41,235,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,ニドリーナ,どく,0.8,20,1,365,70,62,67,55,55,56,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,ニドクイン,どく,1.3,60,1,505,90,92,87,75,85,76,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,ニドラン♂,どく,0.5,9,1,273,46,57,40,40,40,50,235,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,ニドリーノ,どく,0.9,19.5,1,365,61,72,57,55,55,65,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,ニドキング,どく,1.4,62,1,505,81,102,77,85,75,85,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,ピッピ,フェアリー,0.6,7.5,1,323,70,45,48,60,65,35,150,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,ピクシー,フェアリー,1.3,40,1,483,95,70,73,95,90,60,25,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,ロコン,ほのお,0.6,9.9,1,299,38,41,40,50,65,65,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,キュウコン,ほのお,1.1,19.9,1,505,73,76,75,81,100,100,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,プリン,ノーマル,0.5,5.5,1,270,115,45,20,45,25,20,170,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,プクリン,ノーマル,1,12,1,435,140,70,45,85,50,45,50,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,ズバット,どく,0.8,7.5,1,245,40,45,35,30,40,55,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,ゴルバット,どく,1.6,55,1,455,75,80,70,65,75,90,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,ナゾノクサ,くさ,0.5,5.4,1,320,45,50,55,75,65,30,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,クサイハナ,くさ,0.8,8.6,1,395,60,65,70,85,75,40,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,ラフレシア,くさ,1.2,18.6,1,490,75,80,85,110,90,50,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,パラス,むし,0.3,5.4,1,285,35,70,55,45,55,25,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,パラセクト,むし,1,29.5,1,405,60,95,80,60,80,30,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,コンパン,むし,1,30,1,305,60,55,50,40,55,45,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,モルフォン,むし,1.5,12.5,1,450,70,65,60,90,75,90,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,ディグダ,じめん,0.2,0.8,1,265,10,55,25,35,45,95,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,ダグトリオ,じめん,0.7,33.3,1,425,35,100,50,50,70,120,50,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,ニャース,ノーマル,0.4,4.2,1,290,40,45,35,40,40,90,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,ペルシアン,ノーマル,1,32,1,440,65,70,60,65,65,115,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,コダック,みず,0.8,19.6,1,320,50,52,48,65,50,55,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,ゴルダック,みず,1.7,76.6,1,500,80,82,78,95,80,85,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,マンキー,かくとう,0.5,28,1,305,40,80,35,35,45,70,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,オコリザル,かくとう,1,32,1,455,65,105,60,60,70,95,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,ガーディ,ほのお,0.7,19,1,350,55,70,45,70,50,60,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,ウインディ,ほのお,1.9,155,1,555,90,110,80,100,80,95,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,ニョロモ,みず,0.6,12.4,1,300,40,50,40,40,40,90,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,ニョロゾ,みず,1,20,1,385,65,65,65,50,50,90,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,ニョロボン,みず,1.3,54,1,510,90,95,95,70,90,70,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,ケーシィ,エスパー,0.9,19.5,1,310,25,20,15,105,55,90,200,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,ユンゲラー,エスパー,1.3,56.5,1,400,40,35,30,120,70,105,100,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,フーディン,エスパー,1.5,48,1,500,55,50,45,135,95,120,50,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,ワンリキー,かくとう,0.8,19.5,1,305,70,80,50,35,35,35,180,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,ゴーリキー,かくとう,1.5,70.5,1,405,80,100,70,50,60,45,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,カイリキー,かくとう,1.6,130,1,505,90,130,80,65,85,55,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,マダツボミ,くさ,0.7,4,1,300,50,75,35,70,30,40,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,ウツドン,くさ,1,6.4,1,390,65,90,50,85,45,55,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,ウツボット,くさ,1.7,15.5,1,490,80,105,65,100,70,70,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,メノクラゲ,みず,0.9,45.5,1,335,40,40,35,50,100,70,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,ドククラゲ,みず,1.6,55,1,515,80,70,65,80,120,100,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,イシツブテ,いわ,0.4,20,1,300,40,80,100,30,30,20,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,ゴローン,いわ,1,105,1,390,55,95,115,45,45,35,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,ゴローニャ,いわ,1.4,300,1,495,80,120,130,55,65,45,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,ポニータ,ほのお,1,30,1,410,50,85,55,65,65,90,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,ギャロップ,ほのお,1.7,95,1,500,65,100,70,80,80,105,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,ヤドン,みず,1.2,36,1,315,90,65,65,40,40,15,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,ヤドラン,みず,1.6,78.5,1,490,95,75,110,100,80,30,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
81,コイル,でんき,0.3,6,1,325,25,35,70,95,55,45,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png
82,レアコイル,でんき,1,60,1,465,50,60,95,120,70,70,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png
83,カモネギ,ノーマル,0.8,15,1,377,52,90,55,58,62,60,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png
84,ドードー,ノーマル,1.4,39.2,1,310,35,85,45,35,35,75,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png
85,ドードリオ,ノーマル,1.8,85.2,1,470,60,110,70,60,60,110,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png
86,パウワウ,みず,1.1,90,1,325,65,45,55,45,70,45,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png
87,ジュゴン,みず,1.7,120,1,475,90,70,80,70,95,70,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png
88,ベトベター,どく,0.9,30,1,325,80,80,50,40,50,25,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png
89,ベトベトン,どく,1.2,30,1,500,105,105,75,65,100,50,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png
90,シェルダー,みず,0.3,4,1,305,30,65,100,45,25,40,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png
91,パルシェン,みず,1.5,132.5,1,525,50,95,180,85,45,70,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png
92,ゴース,ゴースト,1.3,0.1,1,310,30,35,30,100,35,80,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png
93,ゴースト,ゴースト,1.6,0.1,1,405,45,50,45,115,55,95,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png
94,ゲンガー,ゴースト,1.5,40.5,1,500,60,65,60,130,75,110,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png
95,イワーク,いわ,8.8,210,1,385,35,45,160,30,45,70,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png
96,スリープ,エスパー,1,32.4,1,328,60,48,45,43,90,42,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png
97,スリーパー,エスパー,1.6,75.6,1,483,85,73,70,73,115,67,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png
98,クラブ,みず,0.4,6.5,1,325,30,105,90,25,25,50,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png
99,キングラー,みず,1.3,60,1,475,55,130,115,50,50,75,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png
100,ビリリダマ,でんき,0.5,10.4,1,330,40,30,50,55,55,100,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png
101,マルマイン,でんき,1.2,66.6,1,490,60,50,70,80,80,150,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png
102,タマタマ,くさ,0.4,2.5,1,325,60,40,80,60,45,40,90,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png
103,ナッシー,くさ,2,120,1,530,95,95,85,125,75,55,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png
104,カラカラ,じめん,0.4,6.5,1,320,50,50,95,40,50,35,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png
105,ガラガラ,じめん,1,45,1,425,60,80,110,50,80,45,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png
106,サワムラー,かくとう,1.5,49.8,1,455,50,120,53,35,110,87,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png
107,エビワラー,かくとう,1.4,50.2,1,455,50,105,79,35,110,76,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png
108,ベロリンガ,ノーマル,1.2,65.5,1,385,90,55,75,60,75,30,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png
109,ドガース,どく,0.6,1,1,340,40,65,95,60,45,35,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png
110,マタドガス,どく,1.2,9.5,1,490,65,90,120,85,70,60,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png
111,サイホーン,じめん,1,115,1,345,80,85,95,30,30,25,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png
112,サイドン,じめん,1.9,120,1,485,105,130,120,45,45,40,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png
113,ラッキー,ノーマル,1.1,34.6,1,450,250,5,5,35,105,50,30,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png
114,モンジャラ,くさ,1,35,1,435,65,55,115,100,40,60,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png
115,ガルーラ,ノーマル,2.2,80,1,490,105,95,80,40,80,90,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png
116,タッツー,みず,0.4,8,1,295,30,40,70,70,25,60,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png
117,シードラ,みず,1.2,25,1,440,55,65,95,95,45,85,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png
118,トサキント,みず,0.6,15,1,320,45,67,60,35,50,63,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png
119,アズマオウ,みず,1.3,39,1,450,80,92,65,65,80,68,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png
120,ヒトデマン,みず,0.8,34.5,1,340,30,45,55,70,55,85,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png
121,スターミー,みず,1.1,80,1,520,60,75,85,100,85,115,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png
122,バリヤード,エスパー,1.3,54.5,1,460,40,45,65,100,120,90,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png
123,ストライク,むし,1.5,56,1,500,70,110,80,55,80,105,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png
124,ルージュラ,こおり,1.4,40.6,1,455,65,50,35,115,95,95,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png
125,エレブー,でんき,1.1,30,1,490,65,83,57,95,85,105,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png
126,ブーバー,ほのお,1.3,44.5,1,495,65,95,57,100,85,93,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png
127,カイロス,むし,1.5,55,1,500,65,125,100,55,70,85,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png
128,ケンタロス,ノーマル,1.4,88.4,1,490,75,100,95,40,70,110,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png
129,コイキング,みず,0.9,10,1,200,20,10,55,15,20,80,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png
130,ギャラドス,みず,6.5,235,1,540,95,125,79,60,100,81,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png
131,ラプラス,みず,2.5,220,1,535,130,85,80,85,95,60,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png
132,メタモン,ノーマル,0.3,4,1,288,48,48,48,48,48,48,35,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png
133,イーブイ,ノーマル,0.3,6.5,1,325,55,55,50,45,65,55,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png
134,シャワーズ,みず,1,29,1,525,130,65,60,110,95,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png
135,サンダース,でんき,0.8,24.5,1,525,65,65,60,110,95,130,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png
136,ブースター,ほのお,0.9,25,1,525,65,130,60,95,110,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png
137,ポリゴン,ノーマル,0.8,36.5,1,395,65,60,70,85,75,40,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png
138,オムナイト,いわ,0.4,7.5,1,355,35,40,100,90,55,35,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png
139,オムスター,いわ,1,35,1,495,70,60,125,115,70,55,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png
140,カブト,いわ,0.5,11.5,1,355,30,80,90,55,45,55,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png
141,カブトプス,いわ,1.3,40.5,1,495,60,115,105,65,70,80,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png
142,プテラ,いわ,1.8,59,1,515,80,105,65,60,75,130,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png
143,カビゴン,ノーマル,2.1,460,1,540,160,110,65,65,110,30,25,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png
144,フリーザー,こおり,1.7,55.4,1,580,90,85,100,95,125,85,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png
145,サンダー,でんき,1.6,52.6,1,580,90,90,85,125,90,100,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png
146,ファイヤー,ほのお,2,60,1,580,90,100,90,125,85,90,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png
147,ミニリュウ,ドラゴン,1.8,3.3,1,300,41,64,45,50,50,50,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png
148,ハクリュー,ドラゴン,4,16.5,1,420,61,84,65,70,70,70,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png
149,カイリュー,ドラゴン,2.2,210,1,600,91,134,95,100,100,80,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png
150,ミュウツー,エスパー,2,122,1,680,106,110,90,154,90,130,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png
151,ミュウ,エスパー,0.4,4,1,600,100,100,100,100,100,100,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png
152,チコリータ,くさ,0.9,6.4,2,318,45,49,65,49,65,45,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/152.png
153,ベイリーフ,くさ,1.2,15.8,2,405,60,62,80,63,80,60,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/153.png
154,メガニウム,くさ,1.8,100.5,2,525,80,82,100,83,100,80,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png
155,ヒノアラシ,ほのお,0.5,7.9,2,309,39,52,43,60,50,65,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png
156,マグマラシ,ほのお,0.9,19,2,405,58,64,58,80,65,80,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png
157,バクフーン,ほのお,1.7,79.5,2,534,78,84,78,109,85,100,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png
158,ワニノコ,みず,0.6,9.5,2,314,50,65,64,44,48,43,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/158.png
